Replicate,Day,Treatment,Female_Mortality,Insemination,Mycosis,Male_hpi
Replicate1,11,Control,1,1,0,6
Replicate1,11,RFP,6,5,5,6
Replicate1,11,Hybrid,0,0,0,6
Replicate1,12,Control,0,0,0,6
Replicate1,12,RFP,5,5,5,6
Replicate1,12,Hybrid,0,0,0,6
Replicate1,13,Control,1,1,0,6
Replicate1,13,RFP,1,0,1,6
Replicate1,13,Hybrid,1,1,0,6
Replicate1,14,Control,0,0,0,6
Replicate1,14,RFP,0,0,0,6
Replicate1,14,Hybrid,0,0,0,6
Replicate1,Alive,Control,39,37,0,6
Replicate1,Alive,RFP,19,16,0,6
Replicate1,Alive,Hybrid,15,12,0,6
Replicate2,2,Hybrid,1,1,1,6
Replicate2,2,Control,0,0,0,6
Replicate2,2,RFP,0,0,0,6
Replicate2,3,Control,0,0,0,6
Replicate2,3,Hybrid,1,1,1,6
Replicate2,3,RFP,3,3,3,6
Replicate2,4,Control,0,0,0,6
Replicate2,4,Hybrid,7,7,7,6
Replicate2,4,RFP,2,1,1,6
Replicate2,5,Hybrid,13,12,12,6
Replicate2,5,RFP,5,4,4,6
Replicate2,5,Control,0,0,0,6
Replicate2,6,RFP,3,3,3,6
Replicate2,6,Hybrid,10,10,10,6
Replicate2,6,Control,0,0,0,6
Replicate2,7,Control,1,1,0,6
Replicate2,7,Hybrid,2,2,2,6
Replicate2,7,RFP,3,1,1,6
Replicate2,8,RFP,5,5,4,6
Replicate2,8,Control,1,0,0,6
Replicate2,8,Hybrid,9,7,7,6
Replicate2,9,Control,0,0,0,6
Replicate2,9,RFP,4,4,4,6
Replicate2,9,Hybrid,1,1,1,6
Replicate2,10,Control,0,0,0,6
Replicate2,10,RFP,1,1,1,6
Replicate2,10,Hybrid,0,0,0,6
Replicate2,11,Control,0,0,0,6
Replicate2,11,RFP,0,0,0,6
Replicate2,11,Hybrid,0,0,0,6
Replicate2,12,Control,0,0,0,6
Replicate2,12,RFP,0,0,0,6
Replicate2,12,Hybrid,0,0,0,6
Replicate2,13,Control,0,0,0,6
Replicate2,13,RFP,0,0,0,6
Replicate2,13,Hybrid,0,0,0,6
Replicate2,14,Control,0,0,0,6
Replicate2,14,RFP,0,0,0,6
Replicate2,14,Hybrid,0,0,0,6
Replicate2,Alive,Control,48,39,0,6
Replicate2,Alive,RFP,23,20,0,6
Replicate2,Alive,Hybrid,6,4,0,6
Replicate3,2,Hybrid,1,1,1,6
Replicate3,2,Control,0,0,0,6
Replicate3,2,RFP,1,1,1,6
Replicate3,3,Control,2,1,0,6
Replicate3,3,Hybrid,4,4,4,6
Replicate3,3,RFP,3,3,2,6
Replicate3,4,Control,0,0,0,6
Replicate3,4,Hybrid,7,5,5,6
Replicate3,4,RFP,2,2,2,6
Replicate3,5,Hybrid,9,9,9,6
Replicate3,5,RFP,1,1,0,6
Replicate3,5,Control,1,0,0,6
Replicate3,6,RFP,1,1,1,6
Replicate3,6,Hybrid,4,4,4,6
Replicate3,6,Control,0,0,0,6
Replicate3,7,Control,0,0,0,6
Replicate3,7,Hybrid,7,5,5,6
Replicate3,7,RFP,3,3,1,6
Replicate3,8,RFP,1,1,0,6
Replicate3,8,Control,0,0,0,6
Replicate3,8,Hybrid,1,0,0,6
Replicate3,9,Control,0,0,0,6
Replicate3,9,RFP,4,4,2,6
Replicate3,9,Hybrid,1,0,1,6
Replicate3,10,Control,0,0,0,6
Replicate3,10,RFP,1,1,1,6
Replicate3,10,Hybrid,0,0,0,6
Replicate3,11,Control,0,0,0,6
Replicate3,11,RFP,2,2,2,6
Replicate3,11,Hybrid,0,0,0,6
Replicate3,12,Control,0,0,0,6
Replicate3,12,RFP,3,3,2,6
Replicate3,12,Hybrid,0,0,0,6
Replicate3,13,Control,0,0,0,6
Replicate3,13,RFP,1,1,1,6
Replicate3,13,Hybrid,0,0,0,6
Replicate3,14,Control,1,1,0,6
Replicate3,14,RFP,0,0,0,6
Replicate3,14,Hybrid,0,0,0,6
Replicate3,Alive,Control,46,37,0,6
Replicate3,Alive,RFP,27,23,0,6
Replicate3,Alive,Hybrid,16,13,0,6
Replicate1,2,Hybrid,0,0,0,12
Replicate1,2,Control,0,0,0,12
Replicate1,2,RFP,1,1,0,12
Replicate1,3,Control,0,0,0,12
Replicate1,3,Hybrid,7,7,7,12
Replicate1,3,RFP,0,0,0,12
Replicate1,4,Control,0,0,0,12
Replicate1,4,Hybrid,3,0,0,12
Replicate1,4,RFP,1,1,1,12
Replicate1,5,Hybrid,12,11,11,12
Replicate1,5,RFP,3,3,1,12
Replicate1,5,Control,2,2,0,12
Replicate1,6,RFP,0,0,0,12
Replicate1,6,Hybrid,12,9,9,12
Replicate1,6,Control,1,1,0,12
Replicate1,7,Control,1,1,0,12
Replicate1,7,Hybrid,3,3,3,12
Replicate1,7,RFP,5,5,3,12
Replicate1,8,RFP,9,7,5,12
Replicate1,8,Control,1,0,0,12
Replicate1,8,Hybrid,1,1,1,12
Replicate1,9,Control,2,0,0,12
Replicate1,9,RFP,4,4,4,12
Replicate1,9,Hybrid,0,0,0,12
Replicate1,10,Control,0,0,0,12
Replicate1,10,RFP,1,1,1,12
Replicate1,10,Hybrid,2,2,2,12
Replicate1,11,Control,0,0,0,12
Replicate1,11,RFP,0,0,0,12
Replicate1,11,Hybrid,0,0,0,12
Replicate1,12,Control,0,0,0,12
Replicate1,12,RFP,3,2,2,12
Replicate1,12,Hybrid,0,0,0,12
Replicate1,13,Control,0,0,0,12
Replicate1,13,RFP,1,1,1,12
